breed,url,a_adaptability,a1_adapts_well_to_apartment_living,a2_good_for_novice_owners,a3_sensitivity_level,a4_tolerates_being_alone,a5_tolerates_cold_weather,a6_tolerates_hot_weather,b_all_around_friendliness,b1_affectionate_with_family,b2_incredibly_kid_friendly_dogs,b3_dog_friendly,b4_friendly_toward_strangers,c_health_grooming,c1_amount_of_shedding,c2_drooling_potential,c3_easy_to_groom,c4_general_health,c5_potential_for_weight_gain,c6_size,d_trainability,d1_easy_to_train,d2_intelligence,d3_potential_for_mouthiness,d4_prey_drive,d5_tendency_to_bark_or_howl,d6_wanderlust_potential,e_exercise_needs,e1_energy_level,e2_intensity,e3_exercise_needs,e4_potential_for_playfulness,breed_group,height,weight,life_span,extracted_paragraph,extracted_image_url
American English Coonhound,https://dogtime.com/dog-breeds/american-english-coonhound,3,1,2,5,2,4,4,5,5,5,4,5,3,3,1,5,4,3,3,5,5,4,3,5,5,5,5,5,5,5,5,Hound Dogs,"1 foot, 11 inches to 2 feet, 2 inches tall at the shoulder",,10 to 12 years,"The American English Coonhound, also known as the Redtick Coonhound, is a descendant of the English Foxhound. One of six Coonhound dog breeds, Redtick Coonhounds are known for their speed, endurance, and loud voice in the field. The American English Coonhound is also beloved as a sporting and household companion. It’s also worth nothing that these pups will bark and bay at home. This may make them a poor choice if you’ve got nearby neighbors. The American English Coonhound is also known by alternative names, including the English Coonhound and the Redtick Coonhound.",https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-1384868992-e1706539573466.jpg?w=1024
American Eskimo Dog,https://dogtime.com/dog-breeds/american-eskimo-dog,4,5,4,4,2,5,3,5,5,5,5,4,3,5,1,3,5,4,2,4,5,4,3,3,4,3,4,5,3,4,5,Companion Dogs,"1 foot, 3 inches to 1 foot, 7 inches tall at the shoulder",Starts at 30 pounds,12 to 15 years,"The American Eskimo Dog, affectionately called the “Eskie,” is a friendly companion breed from — and this might come as a surprise — Germany. A German Spitz breed, these dogs lost popularity following World War II. In a marketing move, they were renamed the American Eskimo Dog, likely due to their similar appearance to the Samoyed, another fluffy white breed originating in Siberia who later made their way to the Arctic regions and Alaska. You can usually spot Eskie dogs by their small size, fluffy white coats, and curly tails. They may sometimes be confused with the Samoyed, who is larger but otherwise very similar in appearance. While the American Eskimo Dog’s coat is usually pure white, they can also have biscuit-colored markings. ",https://dogtime.com/wp-content/uploads/sites/12/2024/05/GettyImages-184272401-e1716301227996.jpg?w=1024
American Foxhound,https://dogtime.com/dog-breeds/american-foxhound,2,1,2,2,1,4,4,5,4,5,5,4,4,3,1,5,5,5,3,4,2,3,3,4,5,5,5,5,4,5,5,Hound Dogs,"1 foot, 9 inches to 2 feet, 1 inch tall at the shoulder",40 to 60 pounds,12 to 13 years,"The American Foxhound, a breed known for its grace and endurance, originated in the United States. Bred primarily for hunting, the foxhound possesses a keen sense of smell and boundless energy, making them exceptional hunters and tracking companions.. They are also friendly, affectionate, and gentle, making them wonderful family dogs.",https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1311847396-e1691373083166.jpg?w=1024
American Leopard Hound,https://dogtime.com/dog-breeds/american-leopard-hound,3,2,4,3,3,4,4,4,5,4,4,3,3,2,2,4,4,2,4,4,4,4,3,4,4,4,4,4,3,4,4,Hound Dogs,21 to 27 Inches.,35 to 75 pounds. ,12 to 15 years. ,"The American Leopard Hound, also known as the American Leopard Cur, is an intelligent and hardy dog that boasts a rich history intertwined with the arrival of Spanish conquistadors. These medium to large-sized hounds trace their lineage back to various European breeds, resulting in a versatile hunting dog prized for their keen tracking abilities and athletic prowess. ",https://dogtime.com/wp-content/uploads/sites/12/2019/09/american-leopard-hound-dog-breed-picture-cover.jpg?w=760
American Pit Bull Terrier,https://dogtime.com/dog-breeds/american-pit-bull-terrier,3,3,2,4,1,2,3,4,5,5,1,5,3,4,1,5,4,3,3,4,4,4,5,3,3,4,5,4,5,4,5,Terrier Dogs,"1 foot, 5 inches to 1 foot, 7 inches tall at the shoulder",30 to 85 pounds,12 to 16 years,"The American Pit Bull Terrier is a muscular, short-coated companion dog who comes from a long line of working breed ancestors traced back to England. Originally bred to “bait” bulls in the fighting pits, the breed evolved into all-around farm dogs and later moved into the house to become “nanny dogs” because they were so gentle around children. The American Pit Bull Terrier’s name is often shortened to Pit Bull; however, “Pit Bull” is not an official breed but an umbrella term that refers to a group of breeds with similar physical characteristics. There are different types of Pit Bulls, the five most common being the American Pit Bull Terrier, the American Staffordshire Terrier, the Staffordshire Bull Terrier, the Bull Terrier, and the American Bully.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-153000205-e1691974077142.jpg?w=1024
American Pugabull,https://dogtime.com/dog-breeds/american-pugabull,3,3,3,4,1,2,3,4,5,4,3,3,3,3,3,4,2,3,3,3,3,3,2,4,4,2,4,4,4,3,5,Mixed Breed Dogs,12 to 20 inches,25 to 70 pounds ,12 to 14 years ,"The American Pugabull is a mixed breed dog — a cross between the American Bull Dog and Pug dog breeds. Medium in size, alert, and loyal, these pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/08/american-pugabull-mixed-dog-breed-pictures-cover.jpg?w=760
American Staffordshire Terrier,https://dogtime.com/dog-breeds/american-staffordshire-terrier,2,2,2,3,2,2,3,4,4,4,2,4,3,2,3,4,3,2,3,4,4,4,5,3,4,3,4,3,5,3,4,Terrier Dogs,16 to 19 inches,40 to 60 pounds,10 to 15 years,"The American Staffordshire Terrier is a muscular breed known for being strong for its size. However, they’re also loving and affectionate with human family members and are particularly fond of children. American Staffordshire Terriers enjoy nothing more than being with the humans they care about. They’re more than happy to accompany you for a jog, a playful romp in the yard, or cuddling up on the couch. They are also intelligent and eager to please, which make them highly trainable. To that end, their intelligence means they need adequate mental stimulation. If they don’t get it, they’ll put those strong jaws to use and chew anything out of boredom.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1300301448-e1695306343981.jpg?w=1024
American Water Spaniel,https://dogtime.com/dog-breeds/american-water-spaniel,3,2,2,5,1,2,4,4,5,5,2,3,3,3,1,3,3,3,3,4,4,3,5,2,3,5,4,5,2,5,5,Sporting Dogs,"1 foot, 3 inches to 1 foot, 6 inches tall at the shoulder",25 to 45 pounds,12 to 15 years,"The American Water Spaniel, a distinct and versatile breed native to the United States, is prized for its exceptional hunting and retrieving abilities, especially in waterfowl environments. Medium-sized and compact, this breed is known for its curly or wavy brown coat and expressive eyes. With a friendly and eager-to-please disposition, American Water Spaniels make superb family pets and devoted companions. Intelligent and adaptabe, these charming pups excel in various roles, from hunting to agility competitions. This breed’s enduring popularity is a testament to its affectionate personality and its knack for adapting to both rural and urban living environments, provided it receives the exercise and mental stimulation it craves.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/file_22954_american-water-spaniel.jpg?w=460
Anatolian Shepherd Dog,https://dogtime.com/dog-breeds/anatolian-shepherd-dog,3,1,2,4,3,5,3,2,3,2,2,1,3,2,3,4,3,3,5,3,4,4,2,2,2,4,3,3,3,3,3,Working Dogs,"2 feet, 3 inches to 2 feet, 5 inches tall at the shoulder",80 to 150 pounds,11 to 13 years,"The Anatolian Shepherd Dog is a native of Turkey, where they were bred as a shepherd’s companion and livestock guardian. They were created with specific traits to resemble the size and color of livestock they defended so predators wouldn’t detect them among the flock. Sometimes called the Anatolian Karabash Dog, they’re a fiercely loyal guard dog and a large, impressive dog breed, frequently weighing 120 to 150 pounds at maturity.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1477482048-e1694029026354.jpg?w=1024
Appenzeller Sennenhunde,https://dogtime.com/dog-breeds/appenzeller-sennenhunde,3,1,3,3,1,5,4,4,5,5,3,2,3,3,1,5,4,3,3,4,4,4,5,3,5,3,4,4,4,5,4,Herding Dogs,"1 foot, 7 inches to 1 foot, 10 inches tall at the shoulder",48 to 55 pounds,9 to 12 years,"The Appenzeller Sennenhunde originated as an all-around farm dog breed, who stayed busy herding the livestock, guarding the farm, and pulling carts in their native Switzerland. Today’s Appenzellers still have the energy, smarts, and self-confidence that makes for valuable working dogs — but they’re anything but low-maintenance.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1478460895-1-e1695405829147.jpg?w=1024
Auggie,https://dogtime.com/dog-breeds/auggie,3,2,3,4,3,4,3,5,5,5,5,4,3,4,1,2,3,4,3,4,5,5,3,3,4,3,5,5,4,5,5,Mixed Breed Dogs,10 to 13 inches,20 to 30 pounds,12 to 15 years,"The Auggie is an adorable and spirited hybrid who takes some of the most desirable traits from their Australian Shepherd and Corgi parents and combines them into one fun-loving, portable package. With a compact yet sturdy build, these pups typically stand 10-15 inches tall at the shoulder once fully grown and weigh 15-35 pounds. Their coats can vary, with some exhibiting the longer, thicker fur of the Aussie parent while others have the Corgi’s shorter but still dense double coat. Coat colors range widely too, including red merle, blue merle, black, and tan points.",https://dogtime.com/wp-content/uploads/sites/12/2019/09/Auggie-Collage-e1712528203574.png?w=1024
Aussiedoodle,https://dogtime.com/dog-breeds/aussiedoodle,3,2,3,3,2,3,3,4,5,4,4,4,4,3,4,3,4,4,3,4,5,5,3,3,2,3,5,5,4,5,5,Mixed Breed Dogs,10 to 15 inches,25 to 70 pounds,10 to 13 years,"The Aussiedoodle, also called the Aussiepoo, is a popular cross between an Australian Shepherd and a Poodle. Fans of the breed love these pups for their intelligence, friendly disposition, and striking appearance. Typically, the Aussiepoo inherits the Poodle’s allergy-friendly coat, which is low-shedding and comes in various colors. As with any hypoallergenic dog breed, the possibility of shedding and allergic reactions to those with sensitivities is still possible. Aussiedoodles come in several sizes — toy, mini, and standard — depending on the Poodle parent used in the breeding.",https://dogtime.com/wp-content/uploads/sites/12/2019/07/GettyImages-941172138-e1691704977623.jpg?w=1024
Aussiepom,https://dogtime.com/dog-breeds/aussiepom,3,3,2,3,2,3,3,4,4,3,4,4,3,3,2,2,4,4,3,3,4,4,4,2,3,2,4,5,3,4,5,Mixed Breed Dogs,11 to 17 inches,10 to 30 pounds,12 to 15 years,"The Aussiepom is a lively hybrid breed that blends the intelligent and tireless Australian Shepherd with the spirited and portable Pomeranian. These playful canines have a plush coat and a graceful frame, making them an ideal choice for active families and individuals alike.",https://dogtime.com/wp-content/uploads/sites/12/2019/07/Aussiepom-Collage-e1716166729547.png?w=1024
Australian Cattle Dog,https://dogtime.com/dog-breeds/australian-cattle-dog,3,2,1,4,3,4,4,4,5,3,4,2,3,3,1,4,5,4,3,4,5,5,5,4,2,4,5,5,5,5,5,Herding Dogs,"1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder",30 to 50 pounds,12 to 15 years,"The Australian Cattle Dog, also known as a Blue Heeler or Red Heeler, depending on their coat color, is an extremely intelligent, active, and sturdy dog breed. These dogs are fast! And we’re talking fast, fast! Originally developed by Australian settlers to handle herds of cattle on expansive ranches, they are still used as herding dogs today.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1309830116-e1692992685110.jpg?w=1024
Australian Kelpie,https://dogtime.com/dog-breeds/australian-kelpie,3,2,2,4,2,3,5,3,4,2,3,2,3,3,1,4,3,2,3,5,5,5,5,4,4,4,4,5,3,5,4,Herding Dogs,15 to 20 inches,25 to 46 pounds,10 to 15 years,"The Australian Kelpie, often referred to as the Kelpie, is a highly regarded and versatile herding dog breed. As their name would indicate, these herding dogs hail from Australia. Breed enthusiasts prize these hardworking dogs for their agility, intelligence, and natural instinct to control livestock. While similar to the Working Kelpie, the Australian Kelpie is classified as a separate breed.",https://dogtime.com/wp-content/uploads/sites/12/2018/04/GettyImages-1356399383-e1688346168527.jpg?w=1024
Australian Retriever,https://dogtime.com/dog-breeds/australian-retriever,3,1,4,3,2,4,4,4,4,4,3,3,3,3,2,3,4,4,4,3,4,4,2,3,2,4,4,5,3,5,4,Mixed Breed Dogs,19 to 23 inches,25 to 60 pounds,12 to 15 years,"The Australian Retriever is a mixed breed dog — a cross between the Australian Shepherd and Golden Retriever dog breeds. Loyal, intelligent, and friendly, these pups inherited some of the best traits from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/10/australian-retriever-mixed-dog-breed-pictures-cover.jpg?w=760
Australian Shepherd,https://dogtime.com/dog-breeds/australian-shepherd,3,1,2,5,2,4,4,4,5,4,5,3,2,3,1,1,2,4,3,5,5,5,4,4,4,5,5,5,4,5,5,Herding Dogs,"1 foot, 6 inches to 1 foot, 11 inches tall at the shoulder",40 to 65 pounds,12 to 15 years,"The Australian Shepherd is a medium-sized herding breed from the United States known for their colorful coats, intelligence, and friendly personality. Although the breed originated in the United States, their name reflects their ancestral roots traced back to Europe via Australia. Initially utilized as herding dogs, Aussies still possess strong herding instincts today. American ranchers favored Australian Shepherds for their exceptional herding capabilities, and their popularity soared when they began appearing in rodeos.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1310156914-e1691160249641.jpg?w=1024
Australian Shepherd Husky,https://dogtime.com/dog-breeds/australian-shepherd-husky,3,1,2,4,1,5,4,3,5,3,2,2,3,4,2,3,3,4,4,4,4,5,3,4,5,5,5,5,5,5,5,Mixed Breed Dogs,18 to 25 inches,40 to 65 pounds,12 to 15 years,The Australian Shepherd Husky is a mixed breed dog — a cross between the Australian Shepherd and Siberian Husky dog breeds. These active dogs are protective and loyal and inherited some of the best traits from both of their parents.,https://dogtime.com/wp-content/uploads/sites/12/2019/12/australian-shepherd-husky-mixed-dog-breed-pictures-cover.jpg?w=760
Australian Shepherd Lab Mix,https://dogtime.com/dog-breeds/australian-shepherd-lab-mix,4,2,2,5,4,5,4,4,4,4,4,4,4,4,2,4,4,3,4,4,5,5,4,3,3,5,5,5,5,5,5,Mixed Breed Dogs,22 to 25 inches ,40 to 80 pounds,12 to 15 years ,"The Australian Shepherd Lab Mix is a mixed breed dog — a cross between the Australian Shepherd and the Labrador Retriever dog breeds. Medium in size, energetic, and loyal, these pups inherited some amazing traits from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/12/australian-shepherd-lab-mixed-dog-breed-pictures-cover.jpg?w=760
Australian Shepherd Pit Bull Mix,https://dogtime.com/dog-breeds/australian-shepherd-pit-bull-mix,3,2,3,3,2,3,3,4,4,4,3,3,4,4,2,3,4,5,4,3,4,4,3,4,2,3,4,4,3,4,4,Mixed Breed Dogs,17 to 23 inches,30 to 85 pounds,10 to 16 years,"The Australian Shepherd Pit Bull Mix is a mixed breed dog — a cross between the Australian Shepherd and Pit Bull dog breeds. Energetic, loyal, and quick to learn new things, these pups inherited some of the best traits from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2020/01/australian-shepherd-pit-bull-mixed-dog-breed-pictures-cover.jpg?w=760
Australian Terrier,https://dogtime.com/dog-breeds/australian-terrier,3,5,3,2,2,3,4,3,4,3,2,3,3,1,1,5,5,3,1,4,3,4,1,5,5,4,5,5,5,4,5,Terrier Dogs,10 inches to 11 inches tall at the shoulder,14 to 16 pounds,Up to 15 years,"The Australian Terrier, a small and spirited breed, hails from Australia and is characterized by its distinctive rough double coat that comes in shades of blue and tan. Despite its diminutive size, this terrier is known for its confident and feisty personality. It’s an alert and vigilant watchdog, always ready to alert its family to any potential threats. Australian Terriers are also remarkably loyal and affectionate with their owners, making them loving companions. Their intelligence and curiosity make them quick learners, but their independent streak may require consistent training. With their compact size and adaptable nature, Australian Terriers are suitable for both city and country living, provided they receive regular exercise and mental stimulation.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1226717580-e1696002487688.jpg?w=1024
Azawakh,https://dogtime.com/dog-breeds/azawakh,3,5,2,3,3,1,5,3,4,2,3,2,3,3,1,5,3,3,3,3,3,3,3,4,1,2,3,3,2,4,3,Hound Dogs,"1 foot, 11 inches to 2 feet, 5 inches tall at the shoulder",33 to 55 pounds,12 to 15 years,"The Azawakh is a sighthound breed originating from West Africa. These elegant and athletic dogs are known for their impressive speed and agility. The nomadic Tuareg people of the Sahara desert historically bred them for hunting game, including gazelles and other swift prey. Today, the Azawakh continues to excel in various dog sports and is gaining popularity as a companion and show dog. These remarkable dogs have a statuesque build, with a deep chest and long, slender legs that enable them to cover vast distances with ease. They stand about 23 to 29 inches tall at the shoulder and weigh between 35 to 55 pounds. Their short coat further enhances their distinctive appearance, coming in various colors and patterns, such as red, blue, black, brindle, and white.",https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-984961036-e1691178428955.jpg?w=1024
Barbet,https://dogtime.com/dog-breeds/barbet,3,3,2,3,1,4,4,4,5,4,4,3,2,2,1,1,4,3,3,3,4,4,2,3,3,3,4,5,3,3,4,Sporting Dogs,"1 foot, 8 inches to 2 feet, 1 inch tall at the shoulder",37 to 62 pounds,13 to 15 years,"The Barbet, also known as the French Water Dog, is a medium-sized sporting breed first bred to retrieve waterfowl. They possess a distinctive, hypoallergenic curly coat in multiple colors, including grey, black, fawn, or brown, usually with white markings. Their fuzzy coat often hangs over their eyes, giving them the impression of an oversized teddy bear. In addition to their unique coat, the Barbet’s physical characteristics include webbed feet and a well-muscled body to help them easily move through the water. While avid swimmers, they are also talented agility competitors in their native France. ",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1182528738-e1695731334393.jpg?w=1024
Basenji,https://dogtime.com/dog-breeds/basenji,4,5,4,3,4,1,4,5,5,5,4,5,3,1,5,5,2,2,2,4,1,4,5,5,1,5,3,5,1,5,2,Hound Dogs,"1 foot, 4 inches to 1 foot, 5 inches tall at the shoulder",22 to 24 pounds,10 to 12 years,"The Basenji, originally from Central Africa, was bred as a hunting dog. They stand between 16 and 24 inches tall at the shoulder and weigh between 22 and 24 pounds. Their coat is short and smooth and is typically red, black, brindle, or fawn. Basenjis have a long, narrow head with a pointed muzzle and erect ears. They have a deep chest and a short, muscular body. Basenjis are known for making unique barkless vocalizations. They yodel, which is a high-pitched, somewhat musical sound. They also bark, but are much quieter than other dogs. ",https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-996168400-e1691670212589.jpg?w=1024
Bassador,https://dogtime.com/dog-breeds/bassador,3,2,2,3,3,4,4,3,3,3,3,3,4,5,4,3,3,3,4,3,2,3,2,4,3,3,3,3,2,4,3,Mixed Breed Dogs,13 to 20 inches,45 to 70 pounds,10 to 12 years,"The Bassador is a mixed breed dog–a cross between the Basset Hound and the Labrador Retriever dog breeds. Loyal, sometimes stubborn, and always sniffing around, these pups inherited some of the best traits from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/07/bassador-mixed-breed-dog-pictures-cover.jpg?w=760
Basset Fauve de Bretagne,https://dogtime.com/dog-breeds/basset-fauve-de-bretagne,3,4,4,3,3,3,1,4,5,4,4,3,3,2,1,4,5,1,2,3,3,5,3,3,2,1,3,4,2,4,3,Hound Dogs,12 to 15 inches. ,25 to 35 pounds. ,12 to 15 years. ,"The Basset Fauve de Bretagne dog, originating from France, is an old breed with a unique appearance and historical significance. With a lineage tracing back to the 19th century, these dogs were selectively bred from larger French hounds to create a compact yet robust hunter, specifically tailored for navigating the challenging terrains of Brittany. Known for their keen sense of smell, they were originally employed for hunting small game, showcasing determination and agility in their pursuit.",https://dogtime.com/wp-content/uploads/sites/12/2019/09/GettyImages-136994252-e1709255514492.jpg?w=1024
Basset Hound,https://dogtime.com/dog-breeds/basset-hound,3,5,4,4,3,2,2,5,5,5,5,5,4,4,4,5,1,5,2,4,2,4,3,5,4,5,2,2,2,2,2,Hound Dogs,"Up to 1 foot, 2 inches tall at the shoulder",50 to 65 pounds,10 to 12 years,"The Basset Hound, originally bred in France as a hunting companion, is a medium-sized hound dog with a long, low body and short legs. They are known for their distinctive features, including their long, droopy ears, wrinkled foreheads, and sad-looking eyes. These gentle and affectionate dogs make great family pets. They are also relatively low-maintenance, requiring only moderate exercise.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-623381516-e1691154788279.jpg?w=1024
